STUDID,Sexe,Cycle,Grade,Programme,Premier_Trim,Dernier_Trim,Nb_trim_complete,Moyenne,ANNEE
10090031,M,1,Certificat,Mécanique du bâtiment,20133,20151,4,3.22,2014/15
10003228,M,1,Certificat,Commande de procédés industriels,20041,20103,8,3.68,2010/11
10090331,M,2,Maitrise professionn,Génie industriel,20152,20161,5,3.93,2015/16
10003710,M,2,Maitrise professionn,Génie informatique,20133,20153,4,3.63,2015/16
10003760,M,1,Bac,Génie électrique,20113,20131,4,2.07,2012/13
10004130,M,2,Maitrise professionn,Génie électrique,20151,20162,3,3.47,2015/16
10004430,M,1,Certificat,Cybersécurité des réseaux informatiques,20151,20171,5,3.59,2016/17
10091593,M,1,Certificat,Électricité du bâtiment,20123,20131,2,3.79,2012/13
10092195,M,1,Certificat,Plasturgie : transformation et conception,20091,20113,6,3.95,2011/12
10092569,M,1,Bac,Génie mécanique,19853,20112,12,2.30,2010/11
10005786,M,3,Doctorat,Génie industriel,20043,20111,19,3.50,2010/11
10092875,M,3,Doctorat,Génie informatique,20051,20103,16,3.75,2010/11
10093551,M,1,Certificat,Cybersécurité des réseaux informatiques,20173,20201,6,3.60,2019/20
10094079,M,1,Certificat,Cybersécurité des réseaux informatiques,20163,20193,7,3.25,2019/20
10094531,F,2,Maitrise professionn,Génie industriel,20103,20121,5,3.87,2011/12
10007630,M,1,Certificat,Mécanique du bâtiment,20133,20161,5,3.60,2015/16
10007850,M,2,Maitrise professionn,Génie informatique,20043,20103,5,3.90,2010/11
10094793,M,1,Certificat,Cyberfraude,20121,20161,9,3.20,2015/16
10094793,M,1,Certificat,Cybersécurité des réseaux informatiques,20173,20201,6,3.92,2019/20
10094847,M,1,Certificat,Électricité du bâtiment,20173,20183,3,3.25,2018/19
10095435,M,1,Certificat,Électricité du bâtiment,20081,20113,6,3.56,2011/12
10096981,M,2,Maitrise professionn,Génie civil,20131,20163,9,3.42,2016/17
10010582,M,1,Certificat,Cybersécurité des réseaux informatiques,20183,20193,3,3.90,2019/20
10010882,M,1,Certificat,Électricité du bâtiment,20121,20141,5,3.94,2013/14
10010946,F,1,Certificat,Électricité du bâtiment,20053,20141,13,3.09,2013/14
10098089,M,2,Maitrise professionn,Génie énergétique,20171,20181,4,3.53,2017/18
10098301,M,1,Certificat,Cybersécurité des réseaux informatiques,20173,20191,4,3.80,2018/19
10012380,M,1,Certificat,Cybersécurité des réseaux informatiques,20171,20201,7,3.65,2019/20
10012996,M,1,Certificat,Électricité du bâtiment,20053,20113,8,3.90,2011/12
10013392,M,1,Certificat,Mécanique du bâtiment,20121,20153,8,3.95,2015/16
10100999,M,1,Bac,Génie mécanique,20071,20112,9,3.48,2010/11
10101157,M,1,Certificat,Cybersécurité des réseaux informatiques,20181,20201,4,3.05,2019/20
10101213,F,2,Maitrise professionn,Génie civil,20113,20143,8,3.53,2014/15
10014584,M,1,Certificat,Cyberfraude,20173,20201,6,2.79,2019/20
10014584,M,1,Certificat,Cyberenquête,20173,20193,5,2.73,2019/20
10014584,M,1,Certificat,Cybersécurité des réseaux informatiques,20153,20181,5,2.59,2017/18
10102331,M,2,Maitrise professionn,Génie aérospatial,20142,20142,5,3.38,2013/14
10102331,M,1,Bac,Génie électrique,19922,20122,8,2.60,2011/12
10015456,M,2,Maitrise professionn,Génie civil,20103,20132,9,3.91,2012/13
10018022,M,3,Doctorat,Génie informatique,20062,20123,20,4.00,2012/13
10019318,M,1,Certificat,Technologies biomédicales - instr. électronique,20073,20103,7,2.00,2010/11
10106971,M,3,Doctorat,Génie informatique,20121,20161,13,4.00,2015/16
10106971,M,2,Maitrise recherche,Génie informatique,20102,20112,5,3.74,2010/11
10107383,M,1,Bac,Génie informatique,20101,20141,9,3.74,2013/14
10021518,F,3,Doctorat,Génie civil,20113,20151,11,4.00,2014/15
10021518,F,2,Maitrise recherche,Génie civil,20103,20112,3,4.00,2010/11
10108925,M,1,Bac,Génie électrique,19933,20143,12,2.35,2014/15
10109203,M,1,Certificat,Cybersécurité des réseaux informatiques,20133,20163,7,2.85,2016/17
10109779,M,3,Doctorat,Génie mécanique,20102,20171,21,4.00,2016/17
10109919,M,1,Certificat,Cybersécurité des réseaux informatiques,20131,20161,7,4.00,2015/16
10110127,M,1,Certificat,Électricité du bâtiment,20103,20121,10,3.85,2011/12
10110277,M,2,Maitrise professionn,Génie industriel,20111,20123,7,3.80,2012/13
